iter	Passed	Remaining
0	9	948
1	15	751
2	23	746
3	28	686
4	35	682
5	41	644
6	47	629
7	54	625
8	59	603
9	64	584
10	70	572
11	75	551
12	80	536
13	85	527
14	90	512
15	95	499
16	101	493
17	105	480
18	110	470
19	116	466
20	121	455
21	125	446
22	132	442
23	136	432
24	141	424
25	147	420
26	152	412
27	157	405
28	163	401
29	168	392
30	172	385
31	178	379
32	183	371
33	187	364
34	193	360
35	198	353
36	203	346
37	209	342
38	214	334
39	218	328
40	225	324
41	230	317
42	234	311
43	240	306
44	245	299
45	249	292
46	255	288
47	260	282
48	264	275
49	271	271
50	277	266
51	282	260
52	286	254
53	292	249
54	296	242
55	303	238
56	309	233
57	315	228
58	320	222
59	325	217
60	330	210
61	335	205
62	340	200
63	345	194
64	350	188
65	356	183
66	361	178
67	366	172
68	372	167
69	376	161
70	380	155
71	386	150
72	390	144
73	396	139
74	402	134
75	407	128
76	411	123
77	417	117
78	422	112
79	428	107
80	438	102
81	444	97
82	450	92
83	454	86
84	460	81
85	467	76
86	472	70
87	477	65
88	483	59
89	487	54
90	492	48
91	497	43
92	501	37
93	506	32
94	512	26
95	516	21
96	521	16
97	526	10
98	531	5
99	536	0
