Locality,Latitude,Longitude,Signal Quality (%),Data Throughput (Mbps),Latency (ms),BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
Anisabad,25.59910862,85.1373547,0,1.863890037,129.122914,0,0,0
Boring Road,25.56449947,85.08860677,0,1.567841949,130.536386,0,0,0
Rajendra Nagar,25.69898134,85.19394132,0,1.116387191,191.5213728,0,0,0
Gandhi Maidan,25.47077801,85.10644997,0,2.171551163,194.0230241,0,0,0
Kumhrar,25.57327876,85.15804183,0,1.75347794,174.95783,0,0,0
Fraser Road,25.43328559,85.07005348,0,5.132296384,54.8836057,-95.81079071,-105.4523585,-99.92089157
Kidwaipuri,25.76633295,85.0961902,0,4.03660851,99.88702425,-87.98528177,-90.77001713,-86.18686983
S.K. Puri,25.59368406,85.28094254,0,9.244325886,81.5569313,-87.3602938,-97.79522137,-89.84698353
Fraser Road,25.55560936,85.26554176,0,9.392683868,75.56711994,-88.76704057,-94.79072763,-87.88241994
Patliputra Colony,25.6246223,85.14489697,0,5.122858603,76.85412136,-90.70465762,-94.83182502,-90.34191254
Danapur,25.73513844,85.20839952,0,68.5969323,46.59838702,-90.64277282,-101.8959052,-96.5706979
Phulwari Sharif,25.53855564,85.15985987,0,38.2920383,30.34282765,-90.48909992,-103.3183035,-95.10246712
Bailey Road,25.68217001,85.19489755,0,13.66559221,44.21842336,-96.35049974,-106.0162092,-100.8000734
Rajendra Nagar,25.65077154,85.14411689,0,65.64284959,23.4621686,-93.13829061,-102.7685339,-93.60583495
S.K. Puri,25.47373674,85.07538848,0,79.87716647,23.63214161,-99.6307848,-109.6462943,-104.3643939
Boring Canal Road,25.49880889,85.2113714,0,1.176985004,119.5982862,-91.59386079,-95.41948203,-87.71406994
Bankipore,25.64070078,85.01413424,0,1.712595676,190.6828442,-93.47470691,-97.9575788,-94.19290714
Phulwari Sharif,25.64010416,85.03386136,0,2.670604991,132.0780065,-89.11486737,-95.77617677,-85.43469482
Gardanibagh,25.58570486,85.30570388,0,2.9925074,196.5419351,-96.25918378,-102.4289366,-98.70987566
Pataliputra,25.72900221,85.12084335,0,1.588897784,138.5097729,-85.12402539,-97.05078207,-90.61843562

