Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
Anisabad,25.59910862,85.1373547,-84.27411319,0,1.863890037,129.122914,3G,0,0,0
Fraser Road,25.43328559,85.07005348,-97.65312098,0,5.132296384,54.8836057,4G,-95.81079071,-105.4523585,-99.92089157
Boring Canal Road,25.49880889,85.2113714,-87.04613368,0,1.176985004,119.5982862,LTE,-91.59386079,-95.41948203,-87.71406994
Danapur,25.73513844,85.20839952,-94.14315859,0,68.5969323,46.59838702,5G,-90.64277282,-101.8959052,-96.5706979
Phulwari Sharif,25.53855564,85.15985987,-94.56476466,0,38.2920383,30.34282765,5G,-90.48909992,-103.3183035,-95.10246712
Bankipore,25.64070078,85.01413424,-91.1960294,0,1.712595676,190.6828442,LTE,-93.47470691,-97.9575788,-94.19290714
Kidwaipuri,25.76633295,85.0961902,-85.65309191,0,4.03660851,99.88702425,4G,-87.98528177,-90.77001713,-86.18686983
Phulwari Sharif,25.64010416,85.03386136,-85.98005248,0,2.670604991,132.0780065,LTE,-89.11486737,-95.77617677,-85.43469482
Gardanibagh,25.58570486,85.30570388,-96.84211831,0,2.9925074,196.5419351,LTE,-96.25918378,-102.4289366,-98.70987566
Boring Road,25.56449947,85.08860677,-84.64306452,0,1.567841949,130.536386,3G,0,0,0
S.K. Puri,25.59368406,85.28094254,-90.30840684,0,9.244325886,81.5569313,4G,-87.3602938,-97.79522137,-89.84698353
Pataliputra,25.72900221,85.12084335,-88.6353921,0,1.588897784,138.5097729,LTE,-85.12402539,-97.05078207,-90.61843562
Fraser Road,25.55560936,85.26554176,-88.78220352,0,9.392683868,75.56711994,4G,-88.76704057,-94.79072763,-87.88241994
Patliputra Colony,25.6246223,85.14489697,-88.97117004,0,5.122858603,76.85412136,4G,-90.70465762,-94.83182502,-90.34191254
Rajendra Nagar,25.69898134,85.19394132,-79.65612677,0,1.116387191,191.5213728,3G,0,0,0
Bailey Road,25.68217001,85.19489755,-98.38707834,0,13.66559221,44.21842336,5G,-96.35049974,-106.0162092,-100.8000734
Gandhi Maidan,25.47077801,85.10644997,-85.60737258,0,2.171551163,194.0230241,3G,0,0,0
Rajendra Nagar,25.65077154,85.14411689,-94.69551696,0,65.64284959,23.4621686,5G,-93.13829061,-102.7685339,-93.60583495
S.K. Puri,25.47373674,85.07538848,-103.9383581,0,79.87716647,23.63214161,5G,-99.6307848,-109.6462943,-104.3643939
Kidwaipuri,25.51604846,84.98010977,-94.88228042,0,2.146875776,163.1837212,LTE,-95.3978252,-103.4162266,-95.91029314
Gardanibagh,25.70425662,85.01557056,-89.02013372,0,3.509341045,91.09300296,4G,-86.95771144,-98.61338981,-91.51110743
Anandpuri,25.69145718,85.07264033,-97.53471588,0,49.100666,20.14728695,5G,-98.48269501,-104.6773508,-96.08887271
Boring Canal Road,25.53501143,85.2578581,-89.10363007,0,1.147593129,155.3854284,LTE,-84.41060472,-96.48814085,-88.32723824
Patliputra Colony,25.50170262,85.0840042,-89.9496304,0,1.72069019,125.9949863,LTE,-90.41722193,-99.78805064,-91.27104935
Kumhrar,25.57327876,85.15804183,-83.97815425,0,1.75347794,174.95783,3G,0,0,0
Kankarbagh,25.60091056,84.98462894,-95.06888978,0,32.26132916,28.02176541,5G,-98.77729562,-100.2986346,-94.43184197
Pataliputra,25.74431176,85.23083312,-100.1019162,0,12.59044087,40.20549023,5G,-98.89882072,-106.5815174,-101.8241313
Ashok Rajpath,25.43893442,85.17811927,-85.80728331,0,1.984232586,125.8244388,3G,0,0,0
Phulwari Sharif,25.42684606,85.12153953,-91.78673388,0,1.081737233,116.8935063,LTE,-94.00083049,-100.9016815,-94.25451868
Pataliputra,25.62679951,85.04888047,-86.42701404,0,2.194556165,198.6256996,3G,0,0,0
Bailey Road,25.47641965,85.11313913,-93.53166988,0,26.40554906,32.55860368,5G,-90.12457002,-103.0856482,-93.3196565
Kankarbagh,25.52823026,85.05166311,-91.95507929,0,4.710472088,74.91238489,4G,-93.65159448,-97.28662018,-94.90987312
Ashok Rajpath,25.70536483,85.11599116,-82.81934177,0,2.641722946,171.8457271,LTE,-82.46897445,-90.43624435,-80.78784642
Phulwari Sharif,25.6548263,85.16314568,-90.29803059,0,1.403460925,168.4571548,LTE,-94.41934947,-99.60390672,-93.28176519
Boring Road,25.45603305,85.06782614,-87.68278625,0,2.50100385,179.9537131,LTE,-84.43145949,-96.75076132,-89.26863578
Patliputra Colony,25.48690592,85.10751143,-88.01083289,0,1.458050782,154.2849311,LTE,-88.69555146,-96.34675396,-86.62753807
Fraser Road,25.70627418,85.02788749,-84.73889432,0,1.757643131,145.7000219,3G,0,0,0
Kumhrar,25.65835235,85.09594129,-93.78936552,0,4.591456881,71.17984312,4G,-95.91006936,-100.7146142,-91.31825107
Boring Canal Road,25.63581647,85.15962772,-93.95841928,0,9.893888393,91.94490432,4G,-97.71179247,-99.35420987,-91.73904111
Anandpuri,25.53358947,85.22432964,-90.50314768,0,9.429183075,79.35341121,4G,-95.17468098,-95.93940037,-92.01378902
Anisabad,25.64658703,85.13656904,-88.18077482,0,1.794636231,142.6788905,3G,0,0,0
Anandpuri,25.75144497,85.08219492,-94.47178063,0,1.544603709,189.743041,LTE,-94.20599596,-100.4680318,-91.59819201
Danapur,25.66522971,85.18889829,-89.94799797,0,2.613700298,196.2649319,LTE,-85.50390072,-99.24258873,-90.50964412
Gandhi Maidan,25.5007208,85.07809673,-89.75372552,0,2.661309013,134.5192145,LTE,-87.01538029,-97.93993604,-87.5873174
Exhibition Road,25.62822156,85.07984583,-85.58789893,0,2.645167752,152.9661679,LTE,-82.43735465,-93.09744517,-88.18484653
Phulwari Sharif,25.45839977,85.23059474,-85.3942985,0,6.632423937,52.34829834,4G,-88.73146481,-91.70413042,-87.89750649
Gardanibagh,25.59165725,85.16923764,-93.82000122,0,95.97126815,16.18688564,5G,-92.58667571,-101.4488147,-94.75369882
Boring Canal Road,25.64130468,85.11060159,-84.30197093,0,2.580027118,169.0560232,3G,0,0,0
Kankarbagh,25.76176493,85.07611511,-94.48261117,0,99.94181496,32.23226326,5G,-94.75050999,-102.9183369,-96.7594757
Anisabad,25.65671208,85.19681774,-92.13762674,0,9.194988496,76.51325663,4G,-92.72730513,-100.1151995,-91.70306019
Kankarbagh,25.48793891,85.28235232,-79.60918143,0,4.901808797,69.9143692,4G,-83.69218808,-87.92732911,-79.47406628
Pataliputra,25.62345373,85.28280417,-92.60148378,0,8.585925255,62.94913258,4G,-91.71594149,-97.6898312,-90.29628991
Bankipore,25.62730572,85.1284644,-91.98387619,0,2.93820526,188.3785885,LTE,-87.70635335,-97.00933707,-93.94050469
Fraser Road,25.64360237,85.09598789,-85.50434469,0,2.704387067,103.5422368,3G,0,0,0
Bailey Road,25.42838935,85.14265496,-86.37002093,0,2.142637884,166.211201,LTE,-85.93223185,-92.04755652,-84.96656141
Anandpuri,25.42204582,85.17552553,-94.82052725,0,84.32350755,15.1547947,5G,-96.46933871,-101.102986,-96.85596787
Gardanibagh,25.58070625,85.20059391,-92.30988823,0,40.76849494,35.30487573,5G,-87.98960717,-101.7973396,-89.6865173
Gardanibagh,25.490983,85.23012025,-84.85613785,0,1.044247103,132.3610219,3G,0,0,0
Bailey Road,25.51040384,85.01525476,-104.2338622,0,38.86684664,38.9769069,5G,-101.7754921,-113.2320665,-102.0251253
Rajendra Nagar,25.55015522,85.29186456,-92.26667765,0,2.841695696,161.6650315,LTE,-89.30130474,-99.85906589,-94.56282852
Kankarbagh,25.47666514,85.22804933,-102.9195141,0,72.54836975,44.40489589,5G,-100.1210042,-112.72142,-103.0364724
Boring Road,25.74072996,85.22124668,-82.71875603,0,1.157156994,139.6923276,3G,0,0,0
S.K. Puri,25.6843019,85.09870188,-86.41922712,0,1.678900385,181.4825114,LTE,-90.61807866,-91.94514384,-86.13367286
Exhibition Road,25.70800837,85.16965724,-87.45931279,0,2.110727102,171.9201778,LTE,-90.17476538,-92.47764321,-84.61055382
Exhibition Road,25.4844918,85.06990191,-90.4215677,0,9.113962667,95.0350932,4G,-91.20435843,-99.03742872,-89.86746573
Rajendra Nagar,25.55048731,85.15577249,-82.87668315,0,9.095249309,72.26526275,4G,-82.72850961,-91.0805163,-82.31897804
Ashok Rajpath,25.49604166,85.17029586,-91.03700177,0,1.497428545,161.7144987,LTE,-88.9692296,-100.2017922,-93.03128647
Bankipore,25.56805733,85.10611863,-88.83156539,0,50.69791255,47.3550007,5G,-90.67000434,-96.29539135,-91.58212824
Fraser Road,25.6745762,85.26870673,-84.17029254,0,1.887500439,186.8142254,3G,0,0,0
Bailey Road,25.54889205,85.06745431,-86.95214061,0,2.333943034,157.7185237,3G,0,0,0
S.K. Puri,25.71690623,85.01917636,-88.55121736,0,20.81881498,31.77956392,5G,-93.49363075,-96.92828821,-89.35244815
Anisabad,25.7203341,85.09787672,-91.0455997,0,6.354273143,51.28210329,4G,-92.63312142,-99.14462161,-91.65266301
Phulwari Sharif,25.75485769,85.2015611,-89.1925547,0,1.332663215,161.7351757,3G,0,0,0
Kumhrar,25.71255761,85.23174342,-90.38098031,0,4.296599126,95.88762446,4G,-91.13570606,-99.9457855,-88.48648845
Rajendra Nagar,25.49095563,85.2733317,-93.42909768,0,8.123706473,92.55871304,4G,-91.71485098,-99.3814478,-91.82916087
Fraser Road,25.58789406,85.28099218,-88.17489881,0,2.18895267,149.6766859,3G,0,0,0
S.K. Puri,25.61832403,84.96832891,-92.32672366,0,1.453312804,135.4996306,LTE,-96.63248523,-99.7314247,-94.92104827
Phulwari Sharif,25.44415655,85.170913,-94.05902692,0,2.160950013,108.8767394,LTE,-89.44236956,-100.8842267,-92.53
Gandhi Maidan,25.50157771,85.04670764,-88.29928463,0,7.259404889,75.34192159,4G,-91.70624442,-97.98373947,-90.59339046
Danapur,25.42183139,85.14088711,-88.65736804,0,6.966027535,69.55213815,4G,-88.64583805,-96.67147415,-88.41897233
Kidwaipuri,25.43955091,85.0586534,-77.60536709,0,2.529619602,117.4838627,3G,0,0,0
Exhibition Road,25.47538118,85.18502597,-91.20056114,0,2.702897275,100.0332506,LTE,-96.02368304,-98.18779532,-92.01177182
